N°,Question_Litterale,Propo 1,Propo 2,Propo 3,Propo 4,Bonne_Reponse,Rep_donnee,Niveau,N° famille,Nom famille,Commentaire,Ecran
00020,"SYMBOLE DE LA MODULATION DE FREQUENCE, 
AVEC EMPLOI D'UNE SOUS PORTEUSE MODULANTE,
FAC SIMILE ?",F2C,A3C,G3C,F1C,1,,0,0,Questions entrainement,,
00021,"SYMBOLE DE LA MODULATION DE FREQUENCE, 
AVEC EMPLOI D'UNE SOUS PORTEUSE MODULANTE,
TELEGRAPHIE POUR RECEPTION AUDITIVE ?",F1A,F3E,F2A,F1D,3,,0,0,Questions entrainement,,
00022,"SYMBOLE DE LA MODULATION DE FREQUENCE, 
AVEC EMPLOI D'UNE SOUS PORTEUSE MODULANTE,
TELEGRAPHIE POUR RECEPTION AUTOMATIQUE ?",F1B,G1D,G2D,F2B,4,,0,0,Questions entrainement,,
00023,"SYMBOLE DE LA MODULATION DE FREQUENCE, 
AVEC EMPLOI D'UNE SOUS PORTEUSE MODULANTE,
TRANSMISSION DE DONNEES ?",F3E,G3D,F2D,F1D,3,,0,0,Questions entrainement,,
00024,"SYMBOLE DE LA MODULATION DE FREQUENCE, 
SANS EMPLOI D'UNE SOUS PORTEUSE MODULANTE,
TELEGRAPHIE POUR RECEPTION AUDITIVE ?",F1B,F3C,F1A,F2C,3,,0,0,Questions entrainement,,
00025,"SYMBOLE DE LA MODULATION DE FREQUENCE, 
SANS EMPLOI D'UNE SOUS PORTEUSE MODULANTE,
TELEGRAPHIE POUR RECEPTION AUTOMATIQUE ?",F1A,F2A,F2C,F1B,4,,0,0,Questions entrainement,,
00026,"SYMBOLE DE LA MODULATION DE FREQUENCE, 
SANS EMPLOI D'UNE SOUS PORTEUSE MODULANTE,
TRANSMISSION DE DONNEES ?",F2D,F1D,F3D,G3D,2,,0,0,Questions entrainement,,
00027,"SYMBOLE DE LA MODULATION DE FREQUENCE, 
SIGNAL ANALOGIQUE, FAC SIMILE ?",F3C,G3C,F3E,F3F,1,,0,0,Questions entrainement,,
00028,"SYMBOLE DE LA MODULATION DE PHASE, 
AVEC EMPLOI D'UNE SOUS PORTEUSE MODULANTE,
TRANSMISSION DE DONNEES ?",F3D,G3C,G1D,G2D,4,,0,0,Questions entrainement,,
00029,"SYMBOLE DE LA MODULATION DE PHASE, 
SANS EMPLOI D'UNE SOUS PORTEUSE MODULANTE, TELEVISION ?",G1F,G2F,G3F,G1D,1,,0,0,Questions entrainement,,
00030,"SYMBOLE DE LA MODULATION DE PHASE, 
SANS EMPLOI D'UNE SOUS PORTEUSE MODULANTE, TRANSMISSION DE DONNEES ?",F2D,G2D,G3F,G1D,4,,0,0,Questions entrainement,,
00031,"SYMBOLE DE LA MODULATION DE PHASE, SIGNAL ANALOGIQUE, FAC SIMILE ?",G3C,G3E,G1D,G2D,1,,0,0,Questions entrainement,,
00032,"SYMBOLE DE LA MODULATION DE PHASE, SIGNAL ANALOGIQUE, TELEPHONIE ?",A3E,G1C,F3E,G3E,4,,0,0,Questions entrainement,,
00033,"SYMBOLE DE LA MODULATION DE PHASE, SIGNAL ANALOGIQUE, TELEVISION ?",G3C,G3F,G3E,F3F,2,,0,0,Questions entrainement,,
00034,QUE SIGNIFIE LA LETTRE G DANS LES CLASSES D'EMISSION ?,Modulation d'amplitude bande latérale unique porteuse supprimée,Modulation de phase,Modulation d'amplitude bande latérale résiduelle,Modulation de fréquence,2,,0,0,Questions entrainement,,
00035,"DANS LA CLASSE D'EMISSION F2D, QUE SIGNIFIE LE CHIFFRE 2 ?",Signal digital sans emploi d'une sous porteuse modulante,Signal analogique,Plusieurs voies contenant de l'information numérique,Signal digital avec emploi d'une sous porteuse modulante,4,,0,0,Questions entrainement,,
00036,"DANS LA CLASSE D'EMISSION A3C, QUE SIGNIFIE LE C ?","Modulation d'amplitude, bande latérale réduite",Télévision,Fac-similé,Transmission de données,3,,0,0,Questions entrainement,,
00038,"DANS LA CLASSE D'EMISSION A1A, QUE SIGNIFIE LE PREMIER A ?","Modulation d'amplitude, bande latérale unique, porteuse réduite","Modulation d'amplitude, bande latérale résiduelle","Modulation d'amplitude, double bande latérale, porteuse normale",Télégraphie pour réception auditive,3,,0,0,Questions entrainement,,
00039,-A QUELLE CLASSE D'EMISSION CORRESPOND LE SCHEMA CI-DESSOUS ?,A1A,A3E,G3E,F3E,2,,0,0,Questions entrainement,,00039
00040,"DANS LA CLASSE D'EMISSION G3F, QUE SIGNIFIE LA LETTRE 'F' ?",Données,Télévision,Phonie,Fin de transmission,2,,0,0,Questions entrainement,,
00041,"DANS LA CLASSE D'EMISSION A1A, QUE SIGNIFIE LE DEUXIEME A ?",Télégraphie pour réception auditive,Télégraphie pour réception automatique,"Modulation d'amplitude, double bande latérale,porteuse normale",Signal digital sans emploi d'une sous-porteuse modulante,1,,0,0,Questions entrainement,,
00042,"DANS LA CLASSE D'EMISSION C3F, QUE SIGNIFIE LE C ?",Fac similé,"Modulation d'amplitude, double bande latérale",Modulation de phase,"Modulation d'amplitude, bande latérale résiduelle",4,,0,0,Questions entrainement,,
00043,"DANS LA CLASSE D'EMISSION F3E, QUE SIGNIFIE LE 3 ?","Signal analogique (images, voix)",Téléphonie,Signal digital avec emploi d'une sous porteuse modulante,Signal digital sans emploi d'une sous porteuse modulante,1,,0,0,Questions entrainement,,
00044,"DANS LA CLASSE D'EMISSION F2D, QUE SIGNIFIE LE F ?",Modulation de données,Modulation de fréquence,Signal digital avec emploi d'une sous porteuse modulante,Modulation de phase,2,,0,0,Questions entrainement,,
00045,"DANS LA CLASSE D'EMISSION A2B, QUE SIGNIFIE LE B ?",Télégraphie pour réception automatique,Télégraphie pour réception auditive,Transmission de donnée par paquets,Téléphonie,1,,0,0,Questions entrainement,,
00046,"DANS LA CLASSE D'EMISSION J7B, QUE SIGNIFIE LE CHIFFRE 7 ?",Signal digital avec emploi d'une sous porteuse modulante,Signal digital sans emploi d'une sous porteuse modulante,"Signal analogique (images, voix)",Plusieurs voies contenent de l'information numérique,4,,0,0,Questions entrainement,,
00047,"DANS LA CLASSE D'EMISSION G1F, QUE SIGNIFIE LE F ?",Modulation de phase,Télévision,Modulation de fréquence,Signal digital sans emploi d'une sous porteuse modulante,2,,0,0,Questions entrainement,,
00048,"DANS LA CLASSE D'EMISSION A1A, QUE SIGNIFIE LE CHIFFRE 1 ?",Signal digital avec emploi d'une sous porteuse modulante,Signal digital sans emploi d'une sous porteuse modulante,"Signal analogique (image, voix)",Plusieurs voies contenant de l'information numérique,2,,0,0,Questions entrainement,,
00101,"DANS LA CLASSE D7C, QUE SIGNIFIE DE D",Modulation d'amplitude et angulaire,Transmissions de données,Modulation par déphasage,Ce code n'existe pas,1,,0,0,Questions entrainement,,
00102,"DANS LA CLASSE D'EMISSION D7D, QUE SIGNIDIE LA PREMIERE LETTRE ?",Modulation d'amplitude et angulaire,Transmissions de données,BLU avec porteuse complète,Modulation de phase,1,,0,0,Questions entrainement,,
00103,"DANS LA CLASSE D'EMISSION D7W, QUE SIGNIFIE LA PREMIERE LETTRE ?",Modulation d'amplitude et angulaire,Combinaison de différents types d'informations,Plusieurs voies numériques,Ce code n'existe pas,1,,0,0,Questions entrainement,,
00104,"DANS LA CLASSE D'EMISSION H3E, QUE SIGNIDIE LA PREMIERE LETTRE ?",BLU avec porteuse complète,BLU avec porteuse réduite,BLU avec porteuse supprimée,Modulation d'amplitude,1,,0,0,Questions entrainement,Le code H correpond à de la BLU avec porteuse complète. Ce type de modulation n'est pas employé par les radioamateurs,
00105,"DANS LA CLASSE D'EMISSION F7W, QUE SIGNIFIE LE ""F"" ?",Modulation de fréquence,D-STAR,Transmission numérique,Modulation de phase,1,,0,0,Questions entrainement,Bien lire la question : on ne demande pas le protocole utilisant la classe d'émission F7W (D-Star) mais ce que signifie le code F (Modulation de Fréquence),
00106,"DANS LA CLASSE D'EMISSION G9W, QUE SIGNIFIE LA DERNIERE LETTRE ?",Combinaison de différents types d'information transmise,Téléphonie et données,Transmission de données,Ce code n'exite pas,1,,0,0,Questions entrainement,"Le code W permet de définir toutes les combinaisons possibles de types d'information transmis. La réponse ""téléphonie et données"" ne répond que partiellement à cette définition : on peut imaginer d'autres combinaisons.",
00107,"DANS LA CLASSE D'EMISSION A8W, QUE SIGNIFIE LA DERNIERE LETTRE ?",Téléphonie et télévision,Modulation d'amplitude,Ce code n'existe pas,Plusieurs voies analogiques,1,,0,0,Questions entrainement,"Plus précisément, le code W définit toutes les combinaisons possibles de différents types d'information transmise",
00108,"DANS LA CLASSE D'EMISSION C9W, QUE SIGNIFIE LA DERNIERE LETTRE ?","Combinaison de télévision, téléphonie et transmission de données",Modulation d'amplitude,Modulation d'amplitude et de phase,Télévision,1,,0,0,Questions entrainement,"Plus précisément, le code W définit toutes les combinaisons possibles de différents types d'information transmise",
00109,"DANS LA CLASSE D'EMISSION C9W, QUE SIGNIFIE LE CHIFFRE ?",Combinaison de différentes types d'information transmise,Analogique et numérique,Transmission de données,Fac Similé,2,,0,0,Questions entrainement,,
00110,"DANS LA CLASSE D'EMISSION F9W, QUE SIGNIFIE LE CHIFFRE ?",Téléphonie et Transmission de données,Modulation de fréquence,Analogique et numérqiue,Ce code n'existe pas,3,,0,0,Questions entrainement,"Le code F9W définit notamment l'émission des radios de la bande FM (stéréo) qui émettent des trames RDS. Dans ce cas, il y a transmission de téléphonie (deux voies analogiques) et de données numériques (notamment, informations RDS qui s'affichent sur votre récepteur). 
Lorsque plusieurs natures de signaux modulants sont transmis simultanément, comme dans cet exemple, le code 9 est employé.",
00111,"DANS LA CLASSE D'EMISSION F7W, QUE SIGNIFIE LE CHIFFRE ?",Plusieurs voies numériques,Analogique et numérique,Téléphonie et données,D-star,1,,0,0,Questions entrainement,Bien lire la question : on ne demande pas le protocole utilisant la classe d'émission F7W (D-Star) mais ce que signifie le code 7,
00112,"DANS LA CLASSE D'EMISSION G8E, QUE SIGNIFIE LE CHIFFRE ?",Analogique et numérique,Modulation de phase,Combinaison de différents types d'information,Plusieurs voies analogiques,4,,0,0,Questions entrainement,,
00113,"DANS LA CLASSE D'EMISSION C8F, QUE SIGNIFIE LE CHIFFRE ?",Plusieurs voies analogiques,Analogique et numérique,Une seule voie avec sous porteuse modulante,Ce code n'existe pas,1,,0,0,Questions entrainement,,
00114,"DANS LA CLASSE D'EMISSION C8W, QUE SIGNIFIE LE CHIFFRE ?",Plusieurs voies analogiques,Téléphonie et télévision,Modulation d'amplitude avec bande latérale résiduelle,Morse à 8 mots/minute,1,,0,0,Questions entrainement,,
00115,"DANS LA CLASSE D'EMISSION D8E, QUE SIGNIFIE LE CHIFFRE ?",Téléphonie,Amplitude et angulaire,Plusieurs voies numériques,Plusieurs voies analogiques,4,,0,0,Questions entrainement,,
00116,"DANS LA CLASSE D'EMISSION D8E, QUE SIGNIFIE LE D ?",Modulation d'amplitude et angulaire,Téléphonie,Modulation de Données,BLU avec porteuse complète,1,,0,0,Questions entrainement,,
00117,"DANS LA CLASSE D'EMISSION D7E, QUE SIGNIFIE LE D ?",Modulation d'amplitude et angulaire,Modulation de phase,Modulation de fréquence,Transmission de données,1,,0,0,Questions entrainement,,
10001,QUELLES SONT LES LIMITES DE LA BANDE DES 23 CMS EN FRANCE METROPOLITAINE ?,430 à 440 MHz,"50,200 à 51,200 MHz","1240,000 à 1260,000 MHz","1240,000 à 1300,000 MHz",4,,1,0,Questions entrainement,,
10002,QUELLE FREQUENCE EST UNE LIMITE DE BANDE ?,"14,450 MHz","24,990 MHz","29,700 kHz",438 MHz,2,,1,0,Questions entrainement,,
10003,"QUELLES SONT LES LIMITES DE LA BANDE DES 28,0 MHZ EN FRANCE METROPOLITAINE ?","10,100 à 10,150 MHz","28,000 à 29,700 MHz","28,000 à 28,450 MHz","28,000 à 29,500 MHz",2,,1,0,Questions entrainement,,
10004,"RETROUVEZ LES LIMITES D'UNE BANDE PARTAGEE EN EXPLOITATION SECONDAIRE EN
REGION 1 ?","1,830 à 1,850 MHz","28,000 à 29,700 MHz","10,100 à 10,150 MHz","14,000 à 14,350 MHz",3,,1,0,Questions entrainement,,
10005,QUELLE FREQUENCE EST UNE LIMITE DE BANDE ?,"14,350 MHz","21,350 kHz","50,200 MHz","420,000 MHz",1,,1,0,Questions entrainement,,
10006,QUELLE FREQUENCE EST UNE LIMITE DE BANDE ?,"14,450 MHz","21,350 kHz","50,000 MHz","420,000 MHz",3,,1,0,Questions entrainement,,
10007,QUELLES SONT LES LIMITES DE LA BANDE DES 14 METRES EN FRANCE METROPOLITAINE ?,"14,000 à 14,300 MHz","14,000 à 14,350 MHz",350 kHz,Cette bande n'est pas attribuée au service amateur,4,,1,0,Questions entrainement,Ne pas confondre la longeur d'onde (en mètres) et la fréquence (en MHz). Bien lire les questions pour détecter les pièges !,
10008,QUELLES SONT LES LIMITES DE LA BANDE DES 70 CENTIMETRES EN FRANCE METROPOLITAINE ?,"434,000 à 440,000 MHz","430,000 à 440,000 MHz","430,000 à 435,000 MHz","432,000 à 444,000 MHz",2,,1,0,Questions entrainement,,
10010,QUELLES SONT LES LIMITES DE LA BANDE DES 80 METRES EN FRANCE METROPOLITAINE ?,"3,500 à 3,750 MHz","3,500 à 3,600 MHz","3,500 à 3,800 MHz","3,500 à 3,900 MHz",3,,1,0,Questions entrainement,,
10011,"QUELLES SONT LES LIMITES DE LA BANDE DES 50,0 MHZ EN FRANCE METROPOLITAINE ?","50,000 à 54,000 MHz","50,200 à 51,200 MHz","51,000 à 51,200 MHz","50,000 à 52,000 MHz",4,,1,0,Questions entrainement,"Les limites 50,2-51,2 MHz sont celles antérieures à la décision 12-1241 qui a autorisé l'ensemble d la bande sans restrictions. Les limites 50-52 MHz sont celles de la région 2",
10012,"QUELLES SONT LES LIMITES DE LA BANDE DES 144,0 MHZ EN FRANCE METROPOLITAINE ?","144,000 à 146,000 MHz","144,000 à 148,000 MHz","145,000 à 146,000 MHz","144,000 à 145,000 MHz",1,,1,0,Questions entrainement,"En région 2 (dont la France Métropolitaine ne fait pas partie), les limites de la bande sont 144-148 MHz sauf aux opérateurs de l'ex-classe 3 qui sont autorisés comme en Métropole",
10013,QUELLES SONT LES LIMITES DE LA BANDE DES 40 METRES EN FRANCE METROPOLITAINE ?,"7,000 à 7,100 kHz","7,020 à 7,100 MHz","7,000 à 7,200 MHz","7,000 à 7,100 MHz",3,,1,0,Questions entrainement,"Attention à ne pas confondre la virgule décimale et le point se séparation des milliers.
Pour trouver la fréquence, il faut divisé 300 par la longueur d'onde en mètres.
Attention de ne pas confondre limites et largeur.
LISEZ BIEN VOTRE QUESTION.",
10014,QUELLES SONT LES LIMITES DE LA BANDE DES 30 METRES EN FRANCE METROPOLITAINE ?,"30,000 à 31,150 MHz","10,100 à 10,150 MHz","10,000 à 10,150 MHz","10,000 à 10,200 MHz",2,,1,0,Questions entrainement,"Pour trouver la fréquence, il faut divisé 300 par la longueur d'onde en mètres.
Attention de ne pas confondre limites et largeur.
LISEZ BIEN VOTRE QUESTION.",
10015,"QUELLES SONT LES LIMITES DE LA BANDE DES 430,0 MHZ EN FRANCE METROPOLITAINE ?","434,000 à 440,000 MHz","430,000 à 440,000 MHz","434,000 à 435,000 MHz","430,000 à 435,000 MHz ",2,,1,0,Questions entrainement,,
10016,QUELLES SONT LES LIMITES DE LA BANDE DES 160 METRES EN FRANCE METROPOLITAINE ?,"1,800 à 1,850 MHz","1,810 à 1,850 MHz","1,830 à 1,850 MHz","1,800 à 2,000 MHz",2,,1,0,Questions entrainement,"En région 2 (dont la France Métropolitaine ne fait pas partie), les limites de la bande sont 1,8 à 2,0 MHz.",
10017,"QUELLES SONT LES LIMITES DE LA BANDE DES 1240,0 MHZ EN FRANCE METROPOLITAINE ?","1240,00 à 1300,00 GHz","1200,00 à 1300,00 MHz","1240,00 à 1300,00 MHz","1240,00 à 1280,00 MHz",3,,1,0,Questions entrainement,,
10018,QUELLES SONT LES LIMITES DE LA BANDE DES 20 METRES EN FRANCE METROPOLITAINE ?,"14,000 à 14,350 MHz","14,000 à 14,450 MHz","14,100 à 14,350 MHz","14,000 à 14,250 MHz",1,,1,0,Questions entrainement,"Pour trouver la fréquence, il faut diviser 300 par la longueur d'onde en mètres.
Attention de ne pas confondre limites et largeur.
LISEZ BIEN VOTRE QUESTION.",
10019,QUELLES SONT LES LIMITES DE LA BANDE DES 17 METRES EN FRANCE METROPOLITAINE ?,"17,000 à 17,168 MHz","18,068 à 18,268 MHz","18,068 à 18,168 MHz","18,000 à 18,350 MHz",3,,1,0,Questions entrainement,"Pour trouver la fréquence, il faut diviser 300 par la longueur d'onde en mètres.
Attention de ne pas confondre limites et largeur.
LISEZ BIEN VOTRE QUESTION.",
10020,QUELLES SONT LES LIMITES DE LA BANDE DES 15 METRES EN FRANCE METROPOLITAINE ?,"21,000 à 21,450 MHz","21,000 à 21,350 MHz","21,000 à 21,250 MHz","21,000 à 21,450 kHz",1,,1,0,Questions entrainement,"Pour trouver la fréquence, il faut diviser 300 par la longueur d'onde en mètres.
Attention de ne pas confondre limites et largeur.
LISEZ BIEN VOTRE QUESTION.",
10021,"QUELLES SONT LES LIMITES DE LA BANDE DES 1,8 MHZ EN FRANCE METROPOLITAINE ?","1,810 à 1,850 MHz","1,800 à 1,850 MHz","1,830 à 1,850 MHz","1,810 à 2,000 MHz",1,,1,0,Questions entrainement,,
10022,QUELLE EST LA LIMITE HAUTE DE LA BANDE DES 24 MHZ ?,"24,850 MHz","24,890 MHz","24,900 MHz","24,990 MHz",4,,1,0,Questions entrainement,,
10023,QUELLES SONT LES LIMITES DE LA BANDE DES 12 METRES EN FRANCE METROPOLITAINE ?,"24,500 à 24,900 MHz","24,890 à 24,990 MHz","24,500 à 24950 MHz","12,000 à 12,350 MHz",2,,1,0,Questions entrainement,"Pour trouver la fréquence, il faut diviser 300 par la longueur d'onde en mètres.
Attention de ne pas confondre limites et largeur.
LISEZ BIEN VOTRE QUESTION.",
10024,"QUELLES SONT LES LIMITES DE LA BANDE DES 3,5 MHZ EN FRANCE METROPOLITAINE ?","3,500 à 3,850 MHz","3,500 à 3,800 MHz","3,500 à 3,750 MHz","3,750 à 3,850 MHz",2,,1,0,Questions entrainement,,
10025,QUELLES SONT LES LIMITES DE LA BANDE DES 10 METRES EN FRANCE METROPOLITAINE ?,"10,100 à 10,150 MHz","28,000 à 29,500 MHz","28,000 à 29,700 MHz","28,000 à 28,450 MHz",3,,1,0,Questions entrainement,"Pour trouver la fréquence, il faut diviser 300 par la longueur d'onde en mètres.
Attention de ne pas confondre limites et largeur.
LISEZ BIEN VOTRE QUESTION.",
10026,"QUELLES SONT LES LIMITES DE LA BANDE DES 7,0 MHZ EN FRANCE METROPOLITAINE ?","7,000 à 7,200 MHz","7,000 à 7,100 MHz","7,000 à 7,300 MHz","7,000 à 7,400 MHz",1,,1,0,Questions entrainement,,
10027,"QUELLES SONT LES LIMITES DE LA BANDE DES 10,0 MHZ EN FRANCE METROPOLITAINE ?","28,000 à 29,700 MHz","10,000 à 10,150 MHz","28,000 à 29,500 MHz","10,100 à 10,150 MHz",4,,1,0,Questions entrainement,,
10028,"QUELLES SONT LES LIMITES DE LA BANDE DES 14,0 MHZ EN FRANCE METROPOLITAINE ?","14,000 à 14,350 MHz","14,000 à 14,250 MHz","14,000 à 14,450 MHz","14,000 à 14,300 MHz",1,,1,0,Questions entrainement,,
10029,QUELLES SONT LES LIMITES DE LA BANDE DES 6 METRES EN FRANCE METROPOLITAINE ?,"6,000 à 6,600 MHz","50,000 à 51,200 MHz","50,000 à 52,000 MHz","50,200 à 51,200 MHz",3,,1,0,Questions entrainement,"Pour trouver la fréquence, il faut diviser 300 par la longueur d'onde en mètres.
Attention de ne pas confondre limites et largeur.
LISEZ BIEN VOTRE QUESTION.",
10030,"QUELLES SONT LES LIMITES DE LA BANDE DES 18,0 MHZ EN FRANCE METROPOLITAINE ?","18,000 à 18,250 MHz","18,068 à 18,168 MHz","18,068 à 18,268 MHz","18,000 à 18,168 MHz",2,,1,0,Questions entrainement,,
10031,"QUELLES SONT LES LIMITES DE LA BANDE DES 21,0 MHZ EN FRANCE METROPOLITAINE ?","21,000 à 21,450 kHz","21,000 à 21,350 MHz","21,000 à 21,450 MHz","21,000 à 21,700 MHz",3,,1,0,Questions entrainement,,
10032,QUELLES SONT LES LIMITES DE LA BANDE DES 2 METRES EN FRANCE METROPOLITAINE ?,"144,000 à 146,000 MHz","144,000 à 148,000 MHz","144,500 à 145,500 MHz","144,000 à 150,000 MHz",1,,1,0,Questions entrainement,"Pour trouver la fréquence, il faut diviser 300 par la longueur d'onde en mètres.
Attention de ne pas confondre limites et largeur.
LISEZ BIEN VOTRE QUESTION.",
10034,"QUELLES SONT LES LIMITES DE LA BANDE DES 24,0 MHZ EN FRANCE METROPOLITAINE ?","24,890 à 24,990 MHz","24,500 à 24,900 MHz","24,000 à 24,350 MHz","24,000 à 24,450 MHz",1,,1,0,Questions entrainement,,
10035,QUELLE EST LA LARGEUR DE LA BANDE DES 160 METRES EN FRANCE METROPOLITAINE ?,40 MHz,40 kHz,30 kHz,20 kHz,2,,1,0,Questions entrainement,"Attention de ne pas confondre limites et largeur.
LISEZ BIEN VOTRE QUESTION.",
10036,QUELLE EST LA LARGEUR DE LA BANDE DES 30 METRES EN FRANCE METROPOLITAINE ?,100 kHz,50 kHz,150 kHz,350 kHz,2,,1,0,Questions entrainement,"Attention de ne pas confondre limites et largeur.
LISEZ BIEN VOTRE QUESTION.",
10037,QUELLE EST LA LARGEUR DE LA BANDE DES 80 METRES EN FRANCE METROPOLITAINE ?,"3,500 à 3,800 MHz",300 MHz,300 kHz,"3,500 à 3,850 MHz",3,,1,0,Questions entrainement,"Attention de ne pas confondre limites et largeur.
LISEZ BIEN VOTRE QUESTION.",
10038,QUELLE EST LA LARGEUR DE LA BANDE DES 40 METRES EN FRANCE METROPOLITAINE ?,100 kHz,200 kHz,100 MHz,"7,000 à 7,200 MHz",2,,1,0,Questions entrainement,,
10039,QUELLE EST LA LARGEUR DE LA BANDE DES 20 METRES EN FRANCE METROPOLITAINE ?,"14,000 à 14,350 MHz",350 kHz,450 kHz,"14,000 à 14,450 MHz",2,,1,0,Questions entrainement,"Attention de ne pas confondre limites et largeur.
LISEZ BIEN VOTRE QUESTION.",
10040,"QUELLE EST LA LARGEUR DE LA BANDE DES 1240,0 MHZ EN FRANCE METROPOLITAINE ?",6 MHz,23 centimètres,60 kHz,60 MHz,4,,1,0,Questions entrainement,,
